date,longitude,latitude,level,expver,o3,t,OT
1953/6/1,104,0.5,10,1,1.48E-05,235.98721,-6.0273013
1953/7/1,104,0.5,10,1,1.55E-05,236.03531,1.820087
1953/8/1,104,0.5,10,1,1.59E-05,236.25766,7.8949904
1953/9/1,104,0.5,10,1,1.58E-05,237.34807,12.620831
1953/10/1,104,0.5,10,1,1.54E-05,236.85214,18.567533
1953/11/1,104,0.5,10,1,1.48E-05,236.5344,25.419884
1953/12/1,104,0.5,10,1,1.45E-05,234.70207,20.779903
1954/1/1,104,0.5,10,1,1.48E-05,232.88156,7.051679
1954/2/1,104,0.5,10,1,1.45E-05,236.31284,-5.609762
1954/3/1,104,0.5,10,1,1.47E-05,236.4248,1.5283971
1954/4/1,104,0.5,10,1,1.46E-05,237.79669,0.1687479
1954/5/1,104,0.5,10,1,1.47E-05,237.10443,3.916017
1954/6/1,104,0.5,10,1,1.50E-05,236.10155,6.504761
1954/7/1,104,0.5,10,1,1.57E-05,233.93176,4.981624
1954/8/1,104,0.5,10,1,1.64E-05,233.41139,-0.4099264
1954/9/1,104,0.5,10,1,1.64E-05,234.27,-2.1106644
1954/10/1,104,0.5,10,1,1.58E-05,235.35175,-1.6284356
1954/11/1,104,0.5,10,1,1.51E-05,235.11914,4.2288775
1954/12/1,104,0.5,10,1,1.48E-05,232.26736,-0.45814943
1955/1/1,104,0.5,10,1,1.52E-05,229.16092,-10.864878
1955/2/1,104,0.5,10,1,1.54E-05,231.67525,-6.704774
1955/3/1,104,0.5,10,1,1.54E-05,233.15358,-6.61068
1955/4/1,104,0.5,10,1,1.55E-05,233.03215,-12.456232
1955/5/1,104,0.5,10,1,1.54E-05,233.66922,-19.402676
1955/6/1,104,0.5,10,1,1.55E-05,233.19379,-25.920994
1955/7/1,104,0.5,10,1,1.57E-05,234.30627,-29.416563
1955/8/1,104,0.5,10,1,1.61E-05,234.60352,-22.213715
1955/9/1,104,0.5,10,1,1.66E-05,233.36252,-17.56315
1955/10/1,104,0.5,10,1,1.59E-05,234.97092,-7.880941
1955/11/1,104,0.5,10,1,1.49E-05,235.29103,4.5182147
1955/12/1,104,0.5,10,1,1.47E-05,233.23793,7.715037
1956/1/1,104,0.5,10,1,1.46E-05,233.56357,-3.0398364
1956/2/1,104,0.5,10,1,1.48E-05,233.81035,-7.211702
1956/3/1,104,0.5,10,1,1.48E-05,236.33807,-6.236659
1956/4/1,104,0.5,10,1,1.50E-05,235.92415,-10.986023
1956/5/1,104,0.5,10,1,1.49E-05,236.54228,-12.99374
1956/6/1,104,0.5,10,1,1.50E-05,234.71863,-5.390995
1956/7/1,104,0.5,10,1,1.59E-05,232.85555,-7.698635
1956/8/1,104,0.5,10,1,1.66E-05,231.17932,-5.348653
1956/9/1,104,0.5,10,1,1.66E-05,232.701,-2.0647936
1956/10/1,104,0.5,10,1,1.58E-05,234.76277,2.1082473
1956/11/1,104,0.5,10,1,1.50E-05,235.58118,9.6251335
1956/12/1,104,0.5,10,1,1.44E-05,234.46396,12.245634
1957/1/1,104,0.5,10,1,1.48E-05,230.26158,8.212557
1957/2/1,104,0.5,10,1,1.57E-05,227.58957,9.776859
1957/3/1,104,0.5,10,1,1.53E-05,233.55016,18.953316
1957/4/1,104,0.5,10,1,1.53E-05,234.8771,17.343143
1957/5/1,104,0.5,10,1,1.54E-05,233.71573,8.968832
1957/6/1,104,0.5,10,1,1.56E-05,230.67946,-10.441457
1957/7/1,104,0.5,10,1,1.64E-05,229.87761,-15.024981
1957/8/1,104,0.5,10,1,1.66E-05,231.60036,-18.199457
1957/9/1,104,0.5,10,1,1.67E-05,232.12387,-20.65294
1957/10/1,104,0.5,10,1,1.63E-05,231.92046,-25.771622
1957/11/1,104,0.5,10,1,1.53E-05,233.71652,-22.06199
1957/12/1,104,0.5,10,1,1.47E-05,233.98459,-24.005018
1958/1/1,104,0.5,10,1,1.51E-05,229.82321,-31.600706
1958/2/1,104,0.5,10,1,1.57E-05,227.53517,-37.041656
1958/3/1,104,0.5,10,1,1.56E-05,232.48656,-33.942455
1958/4/1,104,0.5,10,1,1.56E-05,232.86264,-37.98259
1958/5/1,104,0.5,10,1,1.57E-05,231.1265,-36.76408
1958/6/1,104,0.5,10,1,1.60E-05,231.31415,-40.546635
1958/7/1,104,0.5,10,1,1.61E-05,233.72913,-37.79911
1958/8/1,104,0.5,10,1,1.62E-05,234.43636,-28.133366
1958/9/1,104,0.5,10,1,1.61E-05,235.89024,-20.827015
1958/10/1,104,0.5,10,1,1.53E-05,236.88289,-11.151862
1958/11/1,104,0.5,10,1,1.50E-05,234.68552,4.954572
1958/12/1,104,0.5,10,1,1.48E-05,232.49208,11.87867
1959/1/1,104,0.5,10,1,1.48E-05,230.88051,4.348846
1959/2/1,104,0.5,10,1,1.51E-05,232.15384,15.899986
1959/3/1,104,0.5,10,1,1.52E-05,233.19615,23.538015
1959/4/1,104,0.5,10,1,1.50E-05,236.77092,16.829159
1959/5/1,104,0.5,10,1,1.50E-05,235.86186,10.195574
1959/6/1,104,0.5,10,1,1.52E-05,234.76593,6.87643
1959/7/1,104,0.5,10,1,1.57E-05,234.29839,-2.149478
1959/8/1,104,0.5,10,1,1.64E-05,233.22453,-5.467446
1959/9/1,104,0.5,10,1,1.67E-05,232.50154,-14.29458
1959/10/1,104,0.5,10,1,1.60E-05,234.14227,-19.586157
1959/11/1,104,0.5,10,1,1.53E-05,233.16698,-17.80544
1959/12/1,104,0.5,10,1,1.53E-05,230.42401,-25.742216
1960/1/1,104,0.5,10,1,1.58E-05,225.84082,-27.953411
1960/2/1,104,0.5,10,1,1.59E-05,229.15068,-29.248371
1960/3/1,104,0.5,10,1,1.56E-05,233.06053,-29.043718
1960/4/1,104,0.5,10,1,1.50E-05,236.55017,-20.60707
1960/5/1,104,0.5,10,1,1.46E-05,237.93703,-4.662947
1960/6/1,104,0.5,10,1,1.50E-05,235.46686,-0.9309683
1960/7/1,104,0.5,10,1,1.56E-05,234.08157,-3.3279974
1960/8/1,104,0.5,10,1,1.62E-05,233.74174,-4.4959316
1960/9/1,104,0.5,10,1,1.64E-05,233.67236,3.644322
1960/10/1,104,0.5,10,1,1.61E-05,233.11572,7.73856
1960/11/1,104,0.5,10,1,1.55E-05,232.95094,15.398939
1960/12/1,104,0.5,10,1,1.53E-05,230.95856,21.13981
1961/1/1,104,0.5,10,1,1.51E-05,229.429,22.300688
1961/2/1,104,0.5,10,1,1.53E-05,231.28261,22.25717
1961/3/1,104,0.5,10,1,1.55E-05,232.11362,26.370228
1961/4/1,104,0.5,10,1,1.51E-05,235.74911,22.08192
1961/5/1,104,0.5,10,1,1.50E-05,235.40298,16.596277
1961/6/1,104,0.5,10,1,1.55E-05,231.99693,3.2079644
1961/7/1,104,0.5,10,1,1.63E-05,230.58247,-7.8080187
1961/8/1,104,0.5,10,1,1.69E-05,230.21428,-13.355999
1961/9/1,104,0.5,10,1,1.68E-05,231.70522,-17.580793
1961/10/1,104,0.5,10,1,1.63E-05,231.99693,-20.123667
1961/11/1,104,0.5,10,1,1.56E-05,232.3943,-25.215294
1961/12/1,104,0.5,10,1,1.52E-05,232.23032,-29.580051
1962/1/1,104,0.5,10,1,1.54E-05,228.10757,-34.000088
1962/2/1,104,0.5,10,1,1.57E-05,228.54279,-32.99917
1962/3/1,104,0.5,10,1,1.57E-05,232.13806,-34.128292
1962/4/1,104,0.5,10,1,1.55E-05,233.7993,-35.69024
1962/5/1,104,0.5,10,1,1.56E-05,232.97382,-37.981415
1962/6/1,104,0.5,10,1,1.53E-05,234.26605,-33.51668
1962/7/1,104,0.5,10,1,1.57E-05,232.92099,-22.084337
1962/8/1,104,0.5,10,1,1.62E-05,234.0863,-20.44123
1962/9/1,104,0.5,10,1,1.62E-05,235.04031,-21.645626
1962/10/1,104,0.5,10,1,1.54E-05,237.0658,-13.154875
1962/11/1,104,0.5,10,1,1.48E-05,235.70811,3.537291
1962/12/1,104,0.5,10,1,1.46E-05,233.43268,8.819458
1963/1/1,104,0.5,10,1,1.49E-05,230.88208,-4.814673
1963/2/1,104,0.5,10,1,1.52E-05,233.19772,-6.8529706
1963/3/1,104,0.5,10,1,1.49E-05,236.8403,-6.0672913
1963/4/1,104,0.5,10,1,1.47E-05,237.15805,-1.6354928
1963/5/1,104,0.5,10,1,1.49E-05,235.67184,6.294227
1963/6/1,104,0.5,10,1,1.51E-05,234.64215,7.905576
1963/7/1,104,0.5,10,1,1.58E-05,232.18616,12.272686
1963/8/1,104,0.5,10,1,1.66E-05,230.73622,16.847977
1963/9/1,104,0.5,10,1,1.69E-05,230.69759,17.548973
1963/10/1,104,0.5,10,1,1.63E-05,232.43452,19.981287
